,speaker_id,sentence_id,wav_path,wav,phn_path,phns,wrd_path,wrds,usage
0,MJWT0,SX211.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX211.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX211.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX211.WRD,,train
1,MJWT0,SI1291.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI1291.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI1291.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI1291.WRD,,train
2,MJWT0,SX301.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX301.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX301.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX301.WRD,,train
3,MJWT0,SX31.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX31.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX31.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX31.WRD,,train
4,MJWT0,SI751.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI751.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI751.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI751.WRD,,train
5,MJWT0,SA2.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SA2.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SA2.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SA2.WRD,,train
6,MJWT0,SX391.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX391.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX391.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX391.WRD,,train
7,MJWT0,SI1381.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI1381.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI1381.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SI1381.WRD,,train
8,MJWT0,SX121.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX121.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX121.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SX121.WRD,,train
9,MJWT0,SA1.WAV_riff,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SA1.WAV_riff.wav,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SA1.PHN,,/home/neo/MS/TIMIT/TRAIN/DR1/MJWT0/SA1.WRD,,train
